type,key,EN,FR,ES,PT,source_files,usage,,,,
template,runtime.exporting_data,Exporting report data...,Exportation des données du rapport...,Exportando los datos del informe...,A exportar dados do relatório...,charts_sampling.R,Console message,,,,
template,runtime.loading_charts,Loading charts and visual outputs...,Chargement des graphiques et des éléments visuels...,Cargando gráficos y elementos visuales...,A carregar gráficos e resultados visuais...,export.R,Export column label,,,,
template,runtime.sampling_charts_loaded,Sampling charts and visual outputs loaded,Graphiques d’échantillonnage et éléments visuels chargés,Gráficos de muestreo y elementos visuales cargados,Gráficos e resultados visuais da amostragem carregados,charts_advanced.R; charts.R; charts_score.R; charts_drivers.R,Console message,,,,
template,runtime.sampling_charts_loading,Loading sampling charts and visual outputs...,Chargement des graphiques d’échantillonnage et des éléments visuels...,Cargando gráficos de muestreo y elementos visuales...,A carregar gráficos e resultados visuais da amostragem...,charts_sampling.R,Console message,,,,
template,sampling.admin_levels_available,All administrative levels are available. Proceeding...,Tous les niveaux administratifs sont disponibles. Poursuite du traitement...,Todos los niveles administrativos están disponibles. Continuando...,Todos os níveis administrativos estão disponíveis. A prosseguir...,charts_sampling.R,Error message,,,,
template,sampling.category_data_missing,Data for %s not available,Les données pour %s ne sont pas disponibles,Los datos de %s no están disponibles,Dados para %s não disponíveis,charts_sampling.R,Placeholder message,,,,
template,sampling.excluded_custom_note, %s responses total %s%%.,les réponses %s représentent %s %%.,las respuestas %s representan el %s%%., As respostas %s totalizam %s%%.,charts_sampling.R,"Dynamic caption; percentage, source",,,,
template,sampling.excluded_standard_note,Prefer not to answer' and 'Don't know' responses total %s%%.,les réponses « Préfère ne pas répondre » et « Ne sait pas » représentent %s %%.,las respuestas «Prefiere no responder» y «No sabe» representan el %s%%.,As respostas «Prefiro não responder» e «Não sei» totalizam %s%%.,charts_sampling.R,Runtime message,,,,
template,sampling.from_survey,From survey,Données de l’enquête,Datos de la encuesta,Do inquérito,charts_sampling.R,Chart title,,,,
template,sampling.gender_excluded_note,Other or unanswered responses total %s%%.,les réponses « Autre » ou sans réponse représentent %s %%.,las respuestas «Otro» o sin respuesta representan el %s%%.,As respostas «Outro» ou sem resposta totalizam %s%%.,charts_sampling.R,Dynamic caption; source,,,,
template,sampling.gender_source_note,Survey: %s - Population data: %s (%s),Enquête : %s - Données de population : %s (%s),Encuesta: %s - Datos de población: %s (%s),Inquérito: %s - Dados da população: %s (%s),charts_sampling.R,Dynamic caption; percentage and three sources,,,,
template,sampling.geo_population_missing,Geographic population data not available,Les données géographiques de population ne sont pas disponibles,Los datos geográficos de población no están disponibles,Dados geográficos da população não disponíveis,charts_sampling.R,Placeholder message,,,,
template,sampling.geo_excluded_note,"missing, excluded or non-response geographic values total %s%%.","les valeurs géographiques manquantes, exclues ou sans réponse représentent %s %%.","los valores geográficos faltantes, excluidos o sin respuesta representan el %s%%.","os valores geográficos em falta, excluídos ou sem resposta totalizam %s%%.",charts_sampling.R,Dynamic caption; percentage and source,,,,
template,sampling.no_valid_geo_data,No valid geographic survey data available,Aucune donnée géographique valide n’est disponible dans l’enquête,No hay datos geográficos válidos disponibles en la encuesta,Não existem dados geográficos válidos do inquérito,charts_sampling.R,Placeholder message,,,,
template,sampling.no_data_note,no data' indicates unreported or unavailable values.,« données indisponibles » indique des valeurs non déclarées ou non disponibles.,«datos no disponibles» indica valores no declarados o no disponibles.,«dados indisponíveis» indica valores não comunicados ou indisponíveis.,charts_sampling.R,"Dynamic caption; response list, percentage, source",,,,
template,sampling.no_matching_geographies,No matching geographies after join. Check join keys or spelling.,Aucune correspondance géographique après la jointure. Vérifiez les clés de jointure ou l’orthographe.,No hay geografías coincidentes después de la unión. Verifique las claves de unión o la ortografía.,Não existem geografias correspondentes após a associação. Verifique as chaves de associação ou a grafia.,charts_sampling.R,Dynamic placeholder; one %s argument,,,,
template,sampling.other_regions,Other regions,Autres régions,Otras regiones,Outras regiões,charts_sampling.R,Population pyramid title,,,,
template,sampling.population,Population,Population,Población,População,charts_sampling.R,Chart subtitle,,,,
template,sampling.region_column_missing,Region column missing from survey data,La variable région est absente des données de l’enquête,La variable de región no está disponible en los datos de la encuesta,A coluna da região está em falta nos dados do inquérito,charts_sampling.R,Map legend title,,,,
template,sampling.survey,Survey,Enquête,Encuesta,Inquérito,charts_sampling.R,Chart title/series label,,,,
template,sampling.survey_vs_population,Survey vs. population data,Comparaison entre les données de l’enquête et de la population,Comparación entre los datos de la encuesta y de la población,Inquérito vs. dados da população,charts_sampling.R,Series/caption label,,,,
template,sampling.title,Sampling,Échantillonnage,Muestreo,Amostragem,,,,,,
template,sampling.total_respondents_map,Total respondents,Nombre total de répondants,Número total de personas encuestadas,Total de respondentes,charts_sampling.R,Generated geographic category/comment label,,,,
template,map.total_respondents,Total respondents,Total des répondants,Total de encuestados,Total de respondentes,map_sampling,,,,,
template,map.respondents, Respondents, Répondants, Encuestados, Respondentes,map_sampling,,,,,
template,score.competencies,Competencies,Compétences,Competencias,Competências,charts_sampling.R,Dynamic caption; three source values,,,,
template,score.competency,Competency,Compétence,Competencia,Competência,charts_score.R; charts.R; export.R,Chart/export label,,,,
template,score.dimension,Dimension,Dimension,Dimensión,Dimensão,export.R,Module/export label,,,,
template,score.drivers,Drivers,Facteurs,Factores,Fatores,charts_advanced.R; charts.R; export.R,Facet/export label,,,,
template,score.group,Group,Groupe,Grupo,Grupo,charts_advanced.R; charts.R,Axis label,,,,
template,score.institutional,Institutional,Institutionnel,Institucional,Institucional,export.R,Export sheet label,,,,
template,score.mean,Mean,Moyenne,Promedio,Média,charts_score.R,Legend/data label,,,,
template,score.overall_competencies,Overall competencies,Compétences globales,Competencias generales,Competências globais,charts_score.R; export.R,Dimension label,,,,
template,score.overall_values,Overall values,Valeurs globales,Valores generales,Valores globais,charts_score.R,Generated score row,,,,
template,score.score_variation,Score variation,Variation du score,Variación de la puntuación,Variação da pontuação,charts_advanced.R; charts.R; export.R,Axis/export label,,,,
template,score.trust_index,Trust Index,Indice de confiance,Índice de confianza,Índice de confiança,charts_score.R,Generated score row,,,,
template,score.value,Value,Valeur,Valor,Valor,charts_score.R; export.R,Dimension label,,,,
template,score.values,Values,Valeurs,Valores,Valores,charts_score.R; charts.R; export.R,Chart/export label,,,,
template,score.pillar1.label,Pillar 1,Pilier 1,Pilar 1,Pilar 1,charts_score.R; charts.R; export.R,Chart/export label,,,,
template,score.pillar2.label,Pillar 2,Pilier 2,Pilar 2,Pilar 2,,,,,,
template,score.pillar3.label,Pillar 3,Pilier 3,Pilar 3,Pilar 3,,,,,,
template,score.pillar4.label,Pillar 4,Pilier 4,Pilar 4,Pilar 4,,,,,,
template,score.bypillar,Score by Pillar,Score par pilier,Puntuación por pilar,Pontuação por pilar,,,,,,
template,score.combined,Combined Score,Score combiné,Puntuación combinada,Pontuação combinada,,,,,,
template,score.average,Avg.: %.2f,Moy. : %.2f,Prom.: %.2f,Méd.: %.2f,,,,,,
template,score.disaster_risk_knowledge,Disaster Risk Knowledge,Connaissance des risques de catastrophe,Conocimiento del riesgo de desastres,Conhecimento sobre o risco de catástrofes,charts_score.R,Pillar 1 chart title,,,,
template,score.detection_monitoring_forecasting,"Detection, Monitoring & Forecasting","Détection, surveillance et prévision","Detección, monitoreo y pronóstico","Deteção, monitorização e previsão",charts_score.R,Pillar 2 chart title,,,,
template,score.warning_dissemination_communication,Warning Dissemination & Communication,Diffusion des alertes et communication,Difusión de alertas y comunicación,Divulgação e comunicação de alertas,charts_score.R,Pillar 3 chart title,,,,
template,score.preparedness_response_capabilities,Preparedness & Response Capabilities,Capacités de préparation et de réponse,Capacidades de preparación y respuesta,Capacidades de preparação e resposta,charts_score.R,Pillar 4 chart title,,,,
template,score.combined_scores_by_drivers,Combined Scores by Drivers,Scores combinés par facteur,Puntuaciones combinadas por factor,Pontuações combinadas por fator,charts_score.R,Combined chart title,,,,
template,score.mean_score_by_driver_pillar,"Mean score by driver, disaggregated by pillar contribution","Score moyen par facteur, ventilé par contribution des piliers","Puntuación media por factor, desglosada por la contribución de cada pilar","Pontuação média por fator, desagregada pela contribuição de cada pilar",charts_score.R,Combined chart subtitle,,,,
template,score.pillar12,Pillar 1 & 2,Pilier 1 & 2,Pilar 1 y 2,Pilar 1 e 2,,,,,,
template,score.pillar34,Pillar 3 & 4,Pilier 3 & 4,Pilar 3 y 4,Pilar 3 e 4,,,,,,
template,score.pillar1.long_label,Disaster Risk Knowledge,Connaissance des risques de catastrophe,Conocimiento del riesgo de desastres,Conhecimento sobre o risco de catástrofes,,,,,,
template,score.pillar2.long_label,"Detection, Monitoring & Forecasting","Détection, surveillance et prévision","Detección, monitoreo y pronóstico","Deteção, monitorização e previsão",,,,,,
template,score.pillar3.long_label,Warning Dissemination & Communication,Diffusion des alertes et communication,Difusión de alertas y comunicación,Divulgação e comunicação de alertas,,,,,,
template,score.pillar4.long_label,Preparedness & Response Capabilities,Capacités de préparation et de réponse,Capacidades de preparación y respuesta,Capacidades de preparação e resposta,,,,,,
template,table.adm1_missing,"The adm1 variable is missing, empty, or does not correspond to a column in the dataset.","La variable adm1 est absente, vide ou ne correspond à aucune colonne du jeu de données.","La variable adm1 falta, está vacía o no corresponde a ninguna columna del conjunto de datos.","A variável adm1 está em falta, vazia ou não corresponde a uma coluna do conjunto de dados.",charts.R; tables.R,Dynamic geographic caption; three levels,,,,
template,table.age_group,Age group,Groupe d’âge,Grupo de edad,Grupo etário,charts.R; tables.R; export.R,Table/export label,,,,
template,table.gender,Gender,Genre,Género,Género,charts_drivers.R,Experience response category,,,,
template,table.geo,Geographic,Géographique,Geográfico,Geográfico,charts.R; tables.R; export.R,Table/export label,,,,
template,table.profile,Profile,Profil,Perfil,Perfil,charts.R; tables.R; export.R,Table/export label,,,,
template,common.age_group,Age group,Groupe d’âge,Grupo de edad,Grupo etário,charts.R; tables.R; export.R,Table/export label,,,,
template,table.respondents_by_age_group,Respondents by age group,Répondants par groupe d’âge,Personas encuestadas por grupo de edad,Respondentes por grupo etário,charts.R,Table caption,,,,
template,table.respondents_by_gender,Respondents by gender,Répondants par genre,Personas encuestadas por género,Respondentes por género,charts.R; tables.R,Table header,,,,
template,table.respondents_by_one_level,Respondents by %s,Répondants par %s,Personas encuestadas por %s,Respondentes por %s,charts.R,Table caption,,,,
template,table.respondents_by_rc_relationship,Respondents by relationship with the Red Cross,Répondants selon leur relation avec la Croix-Rouge,Personas encuestadas según su relación con la Cruz Roja,Respondentes por relação com a Cruz Vermelha,charts.R,Table caption,,,,
template,table.respondents_by_three_levels,"Respondents by %s, %s and %s","Répondants par %s, %s et %s","Personas encuestadas por %s, %s y %s","Respondentes por %s, %s e %s",charts.R; tables.R,Dynamic geographic caption; two levels,,,,
template,table.respondents_by_two_levels,Respondents by %s and %s,Répondants par %s et %s,Personas encuestadas por %s y %s,Respondentes por %s e %s,charts.R; tables.R,Dynamic geographic caption; one level,,,,
template,common.and,and,et,y,e,charts.R; tables.R; export.R,Dynamic geographic caption;,,,,
variable,dimension.competencies,Competencies,Compétences,Competencias,Competências,charts_sampling.R,Dynamic caption; three source values,,,,
variable,dimension.competency,Competency,Compétence,Competencia,Competência,charts_score.R; charts.R; export.R,Chart/export label,,,,
variable,dimension.institutional,Institutional,Institutionnel,Institucional,Institucional,export.R,Export sheet label,,,,
variable,weighted,Weighted,Pondéré,Ponderado,Ponderado,charts_advanced.R,Weighting legend,,,,
variable,unweighted,Unweighted,Non pondéré,No ponderado,Não ponderado,charts_advanced.R,Weighting legend,,,,
variable,dimension.overall_only,Overall,Globales,Generales,Global,charts_score.R; export.R,Dimension label,,,,
variable,dimension.overall_competencies,Overall competencies,Compétences globales,Competencias generales,Competências globais,charts_score.R; export.R,Dimension label,,,,
variable,dimension.overall_values,Overall values,Valeurs globales,Valores generales,Valores globais,charts_score.R,Generated score row,,,,
variable,dimension.trust_index,Trust Index,Indice de confiance,Índice de confianza,Índice de confiança,charts_score.R,Generated score row,,,,
variable,dimension.value,Value,Valeur,Valor,Valor,charts_score.R; export.R,Dimension label,,,,
variable,dimension.values,Values,Valeurs,Valores,Valores,charts_score.R; charts.R; export.R,Chart/export label,,,,
variable,admin1.long,Oblast,Oblast,Oblast,Oblast,question_code,Question long label,,,,
variable,admin1.short,Oblast,Oblast,Oblast,Oblast,question_code,Question short label,,,,
variable,admin2.long,Kraj,Kraj,Kraj,Kraj,question_code,Question long label,,,,
variable,admin2.short,Kraj,Kraj,Kraj,Kraj,question_code,Question short label,,,,
variable,age.long,How old are you?,Quel âge avez-vous ?,¿Qué edad tiene?,Qual é a sua idade?,question_code,Question long label,,,,
variable,age.short,Age,Âge,Edad,Idade,question_code,Question short label,,,,
variable,Date.long,Date,Date,Fecha,Data,question_code,Question long label,,,,
variable,Date.short,Date,Date,Fecha,Data,question_code,Question short label,,,,
variable,know_RC.long,Have you heard of the Red Cross?,Avez-vous entendu parler de la Croix-Rouge ?,¿Ha oído hablar de la Cruz Roja?,Já ouviu falar da Cruz Vermelha?,question_code,Question long label,,,,
variable,know_RC.short,Heard of RC,Connaissance de la Croix-Rouge,Conocimiento de la Cruz Roja,Já ouviu falar da Cruz Vermelha,question_code,Question short label,,,,
variable,language.long,What main language do you speak at home?,Quelle langue parlez-vous principalement à la maison ?,¿Qué idioma habla principalmente en casa?,Qual é a principal língua que fala em casa?,question_code,Question long label,,,,
variable,language.short,Main language,Langue principale,Idioma principal,Língua principal,question_code,Question short label,,,,
variable,localities.long,Zone,Zone,Zona,Zona,question_code,Question long label,,,,
variable,localities.short,Zone,Zone,Zona,Zona,question_code,Question short label,,,,
variable,native.long,Are you currently living in the country where you were born?,Vivez-vous actuellement dans le pays où vous êtes né(e) ?,¿Vive actualmente en el país donde nació?,Atualmente vive no país onde nasceu?,question_code,Question long label,,,,
variable,native.short,Native-born,Né(e) dans le pays,Nacido/a en el país,Nascido no país,question_code,Question short label,,,,
variable,disabilities.long,People living with disabilities,Personnes vivant avec un handicap,Personas con discapacidad,Pessoas com deficiência,question_code,Question long label,,,,
variable,disabilities.short,Disabilities,Handicap,Discapacidad,Deficiências,question_code,Question short label,,,,
variable,education.long,What is the highest level of education you have completed?,Quel est le niveau d’études le plus élevé que vous avez terminé ?,¿Cuál es el nivel educativo más alto que ha completado?,Qual é o nível de educação mais elevado que concluiu?,question_code,Question long label,,,,
variable,education.short,Education,Éducation,Educación,Educação,question_code,Question short label,,,,
variable,eligible.long,Are you at least 18 years old?,Avez-vous au moins 18 ans ?,¿Tiene al menos 18 años?,Tem pelo menos 18 anos?,question_code,Question long label,,,,
variable,eligible.short,Eligibility,Éligibilité,Elegibilidad,Elegibilidade,question_code,Question short label,,,,
variable,employment.long,What is your professional situation?,Quelle est votre situation professionnelle ?,¿Cuál es su situación profesional?,Qual é a sua situação profissional?,question_code,Question long label,,,,
variable,employment.short,Employment,Emploi,Empleo,Emprego,question_code,Question short label,,,,
variable,gender.long,How would you describe your gender?,Comment décririez-vous votre genre ?,¿Cómo describiría su género?,Como descreveria o seu género?,question_code,Question long label,,,,
variable,gender.short,Gender,Genre,Género,Género,question_code,Question short label,,,,
variable,BEFORE_beneficiary.long,Have you received aid or support from the Red Cross?,Avez-vous reçu une aide ou un soutien de la Croix-Rouge ?,¿Ha recibido ayuda o apoyo de la Cruz Roja?,Recebeu ajuda ou apoio da Cruz Vermelha?,question_code,Question long label,,,,
variable,BEFORE_beneficiary.short,Received Support,A reçu un soutien,Ha recibido apoyo,Recebeu apoio,question_code,Question short label,,,,
variable,BEFORE_donation.long,Have you ever made a donation to the Red Cross?,Avez-vous déjà fait un don à la Croix-Rouge ?,¿Ha hecho alguna vez una donación a la Cruz Roja?,Alguma vez fez uma doação à Cruz Vermelha?,question_code,Question long label,,,,
variable,BEFORE_donation.short,Donated to the Red Cross,A fait un don à la Croix-Rouge,Hizo una donación a la Cruz Roja,Fez uma doação à Cruz Vermelha,question_code,Question short label,,,,
variable,BEFORE_follow_advice.long,Have you ever followed the advice you received from the Red Cross in a crisis situation?,Avez-vous déjà suivi les conseils reçus de la Croix-Rouge en situation de crise ?,¿Ha seguido alguna vez los consejos recibidos de la Cruz Roja en una situación de crisis?,Alguma vez seguiu os conselhos recebidos da Cruz Vermelha numa situação de crise?,question_code,Question long label,,,,
variable,BEFORE_follow_advice.short,Followed the Red Cross recommendations,A suivi les recommandations de la Croix-Rouge,Siguió las recomendaciones de la Cruz Roja,Seguiu as recomendações da Cruz Vermelha,question_code,Question short label,,,,
variable,BEFORE_recommend.long,Have you ever recommended the Red Cross to people who need support?,Avez-vous déjà recommandé la Croix-Rouge à des personnes ayant besoin de soutien ?,¿Ha recomendado alguna vez la Cruz Roja a personas que necesitan apoyo?,Alguma vez recomendou a Cruz Vermelha a pessoas que precisam de apoio?,question_code,Question long label,,,,
variable,BEFORE_recommend.short,Recommended the Red Cross,A recommandé la Croix-Rouge,Recomendó la Cruz Roja,Recomendou a Cruz Vermelha,question_code,Question short label,,,,
variable,BEFORE_request_support.long,Have you ever requested support from the Red Cross?,Avez-vous déjà demandé du soutien à la Croix-Rouge ?,¿Ha solicitado alguna vez apoyo de la Cruz Roja?,Alguma vez solicitou apoio à Cruz Vermelha?,question_code,Question long label,,,,
variable,BEFORE_request_support.short,Requested Red Cross services,A demandé le soutien de la Croix-Rouge,Solicitó apoyo de la Cruz Roja,Solicitou serviços da Cruz Vermelha,question_code,Question short label,,,,
variable,BEFORE_shared_feedback.long,Have you ever shared feedback to the Red Cross?,Avez-vous déjà donné votre avis à la Croix-Rouge ?,¿Ha dado alguna vez su opinión a la Cruz Roja?,Alguma vez partilhou comentários com a Cruz Vermelha?,question_code,Question long label,,,,
variable,BEFORE_shared_feedback.short,Shared feedback,A donné son avis,Dio retroalimentación,Partilhou comentários,question_code,Question short label,,,,
variable,BEFORE_shared_information.long,Have you ever shared information from the Red Cross with others?,Avez-vous déjà partagé avec d’autres des informations de la Croix-Rouge ?,¿Ha compartido alguna vez con otras personas información de la Cruz Roja?,Alguma vez partilhou com outras pessoas informações da Cruz Vermelha?,question_code,Question long label,,,,
variable,BEFORE_shared_information.short,Shared information,A partagé des informations,Compartió información,Partilhou informações,question_code,Question short label,,,,
variable,BEFORE_volunteer.long,Have you ever volunteered at the Red Cross?,Avez-vous déjà été volontaire à la Croix-Rouge ?,¿Ha sido alguna vez voluntario en la Cruz Roja?,Alguma vez foi voluntário/a na Cruz Vermelha?,question_code,Question long label,,,,
variable,BEFORE_volunteer.short,Volunteered at the Red Cross,A été volontaire à la Croix-Rouge,Fue voluntario en la Cruz Roja,Foi voluntário/a na Cruz Vermelha,question_code,Question short label,,,,
variable,INTENTION_donation.long,How likely are you to make a donation to the Red Cross?,Quelle est la probabilité que vous fassiez un don à la Croix-Rouge ?,¿Qué probabilidad hay de que haga una donación a la Cruz Roja?,Qual é a probabilidade de fazer uma doação à Cruz Vermelha?,question_code,Question long label,,,,
variable,INTENTION_donation.short,Intention to donate to the Red Cross,Intention de faire un don à la Croix-Rouge,Intención de donar a la Cruz Roja,Intenção de fazer uma doação à Cruz Vermelha,question_code,Question short label,,,,
variable,INTENTION_follow_advice.long,How likely are you to follow the advice you receive from the Red Cross in a crisis situation?,Quelle est la probabilité que vous suiviez les conseils reçus de la Croix-Rouge en situation de crise ?,¿Qué probabilidad hay de que siga los consejos que recibe de la Cruz Roja en una situación de crisis?,Qual é a probabilidade de seguir os conselhos que recebe da Cruz Vermelha numa situação de crise?,question_code,Question long label,,,,
variable,INTENTION_follow_advice.short,Intention to follow the Red Cross advice,Intention de suivre les conseils de la Croix-Rouge,Intención de seguir los consejos de la Cruz Roja,Intenção de seguir os conselhos da Cruz Vermelha,question_code,Question short label,,,,
variable,INTENTION_recommend.long,How likely are you to recommend the Red Cross to the people who need support?,Quelle est la probabilité que vous recommandiez la Croix-Rouge aux personnes ayant besoin de soutien ?,¿Qué probabilidad hay de que recomiende la Cruz Roja a personas que necesitan apoyo?,Qual é a probabilidade de recomendar a Cruz Vermelha às pessoas que precisam de apoio?,question_code,Question long label,,,,
variable,INTENTION_recommend.short,Intention to recommend the Red Cross,Intention de recommander la Croix-Rouge,Intención de recomendar la Cruz Roja,Intenção de recomendar a Cruz Vermelha,question_code,Question short label,,,,
variable,INTENTION_request_support.long,How likely are you to request support from the Red Cross?,Quelle est la probabilité que vous demandiez du soutien à la Croix-Rouge ?,¿Qué probabilidad hay de que solicite apoyo a la Cruz Roja?,Qual é a probabilidade de solicitar apoio à Cruz Vermelha?,question_code,Question long label,,,,
