key,section,EN,FR,ES,source_files,usage
sampling.excluded_standard_note,sampling,Note: 'Prefer not to answer' and 'Don't know' responses total %s%%.\nSource: %s,Note : les réponses « Préfère ne pas répondre » et « Ne sait pas » représentent %s %%.\nSource : %s,Nota: las respuestas «Prefiere no responder» y «No sabe» representan el %s%%.\nFuente: %s,charts_sampling.R,Runtime message
sampling.excluded_custom_note,sampling,Note: %s responses total %s%%.\nSource: %s,Note : les réponses %s représentent %s %%.\nSource : %s,Nota: las respuestas %s representan el %s%%.\nFuente: %s,charts_sampling.R,"Dynamic caption; percentage, source"
sampling.no_data_note,sampling,Note: 'no data' indicates unreported or unavailable values.\nSource: %s.,Note : « données indisponibles » indique des valeurs non déclarées ou non disponibles.\nSource : %s.,Nota: «datos no disponibles» indica valores no declarados o no disponibles.\nFuente: %s.,charts_sampling.R,"Dynamic caption; response list, percentage, source"
sampling.gender_excluded_note,sampling,Note: Other or unanswered responses total %s%%.\nSource:\nSurvey: %s - Population data: %s (%s),Note : les réponses « Autre » ou sans réponse représentent %s %%.\nSource :\nEnquête : %s - Données de population : %s (%s),Nota: las respuestas «Otro» o sin respuesta representan el %s%%.\nFuente:\nEncuesta: %s - Datos de población: %s (%s),charts_sampling.R,Dynamic caption; source
sampling.gender_source_note,sampling,Source:\nSurvey: %s - Population data: %s (%s),Source :\nEnquête : %s - Données de population : %s (%s),Fuente:\nEncuesta: %s - Datos de población: %s (%s),charts_sampling.R,Dynamic caption; percentage and three sources
score.competencies,sampling,Competencies,Compétences,Competencias,charts_sampling.R,Dynamic caption; three source values
score.values,score,Values,Valeurs,Valores,charts_score.R; charts.R; export.R,Chart/export label
score.competency,score,Competency,Compétence,Competencia,charts_score.R; charts.R; export.R,Chart/export label
score.value,score,Value,Valeur,Valor,charts_score.R; export.R,Dimension label
score.overall_competencies,score,Overall competencies,Compétences globales,Competencias generales,charts_score.R; export.R,Dimension label
score.overall_values,score,Overall values,Valeurs globales,Valores generales,charts_score.R,Generated score row
score.trust_index,score,Trust Index,Indice de confiance,Índice de confianza,charts_score.R,Generated score row
score.institutional,score,Institutional,Institutionnel,Institucional,export.R,Export sheet label
score.dimension,score,Dimension,Dimension,Dimensión,export.R,Module/export label
score.drivers,score,Drivers,Facteurs,Factores,charts_advanced.R; charts.R; export.R,Facet/export label
score.score_variation,score,Score variation,Variation du score,Variación de la puntuación,charts_advanced.R; charts.R; export.R,Axis/export label
score.group,score,Group,Groupe,Grupo,charts_advanced.R; charts.R,Axis label
score.mean,score,Mean,Moyenne,Promedio,charts_score.R,Legend/data label
drivers.responses_by_subdimension,score,Survey responses by subdimension,Réponses à l’enquête par sous-dimension,Respuestas de la encuesta por subdimensión,charts_score.R,Data label
drivers.opinions_subtitle,drivers,Respondents' opinions and perceptions about %s,Opinions et perceptions des répondants concernant %s,Opiniones y percepciones de las personas encuestadas sobre %s,charts_drivers.R,Chart title
response.yes,drivers,Yes,Oui,Sí,charts_drivers.R,Dynamic subtitle; driver name
response.no,responses,No,Non,No,charts_drivers.R,Response category/order
response.dont_know,responses,Don't know,Ne sait pas,No sabe,charts_drivers.R,Response category
response.prefer_not_answer,responses,Prefer not to answer,Préfère ne pas répondre,Prefiere no responder,charts_advanced.R; charts_sampling.R; charts_drivers.R,Response category
response.strongly_agree,responses,Strongly agree,Tout à fait d’accord,Totalmente de acuerdo,charts_sampling.R,Response category in notes
response.mostly_agree,responses,Mostly agree,Plutôt d’accord,Mayormente de acuerdo,charts_drivers.R,Response category/order
response.mostly_disagree,responses,Mostly disagree,Plutôt pas d’accord,Mayormente en desacuerdo,charts_drivers.R,Response category/order
response.strongly_disagree,responses,Strongly disagree,Pas du tout d’accord,Totalmente en desacuerdo,charts_drivers.R,Response category/order
response.very_positively,responses,Very positively,Très positivement,Muy positivamente,charts_drivers.R,Response category/order
response.somewhat_positively,responses,Somewhat positively,Plutôt positivement,Algo positivamente,charts_drivers.R,Experience response category
response.yes_mostly,responses,"Yes, mostly","Oui, dans l’ensemble","Sí, en su mayoría",charts_drivers.R,Experience response category
table.gender,responses,Gender,Genre,Género,charts_drivers.R,Experience response category
table.age_group,tables,Age group,Groupe d’âge,Grupo de edad,charts.R; tables.R; export.R,Table/export label
table.profile,tables,Profile,Profil,Perfil,charts.R; tables.R; export.R,Table/export label
table.respondents_by_gender,tables,Respondents by gender,Répondants par genre,Personas encuestadas por género,charts.R; tables.R,Table header
table.respondents_by_age_group,tables,Respondents by age group,Répondants par groupe d’âge,Personas encuestadas por grupo de edad,charts.R,Table caption
table.respondents_by_rc_relationship,tables,Respondents by relationship with the Red Cross,Répondants selon leur relation avec la Croix-Rouge,Personas encuestadas según su relación con la Cruz Roja,charts.R,Table caption
table.respondents_by_one_level,tables,Respondents by %s,Répondants par %s,Personas encuestadas por %s,charts.R,Table caption
table.respondents_by_two_levels,tables,Respondents by %s and %s,Répondants par %s et %s,Personas encuestadas por %s y %s,charts.R; tables.R,Dynamic geographic caption; one level
table.respondents_by_three_levels,tables,"Respondents by %s, %s and %s","Répondants par %s, %s et %s","Personas encuestadas por %s, %s y %s",charts.R; tables.R,Dynamic geographic caption; two levels
table.adm1_missing,tables,"The adm1 variable is missing, empty, or does not correspond to a column in the dataset.","La variable adm1 est absente, vide ou ne correspond à aucune colonne du jeu de données.","La variable adm1 falta, está vacía o no corresponde a ninguna columna del conjunto de datos.",charts.R; tables.R,Dynamic geographic caption; three levels
export.extra_questions,tables,Extra questions,Questions supplémentaires,Preguntas adicionales,tables.R,Error message
export.sampling_age,export,Sampling - age,Échantillonnage - âge,Muestreo - edad,export.R,Worksheet/export label
export.sampling_gender,export,Sampling - gender,Échantillonnage - genre,Muestreo - género,export.R,Worksheet label
export.sampling_geographic,export,Sampling - geographic,Échantillonnage - géographie,Muestreo - geografía,export.R,Worksheet label
export.sampling_profile,export,Sampling - profile,Échantillonnage - profil,Muestreo - perfil,export.R,Worksheet label
export.geographic,export,Geographic,Géographique,Geográfico,export.R,Worksheet label
export.factor,export,Factor,Facteur,Factor,export.R,Export group/name
export.series,export,Series,Série,Serie,export.R,Export group
runtime.loading_charts,export,Loading charts and visual outputs...,Chargement des graphiques et des éléments visuels...,Cargando gráficos y elementos visuales...,export.R,Export column label
runtime.charts_loaded,runtime,Charts and visual outputs loaded,Graphiques et éléments visuels chargés,Gráficos y elementos visuales cargados,charts_advanced.R; charts.R; charts_score.R; charts_sampling.R; charts_drivers.R,Console message
runtime.sampling_charts_loaded,runtime,Sampling charts and visual outputs loaded,Graphiques d’échantillonnage et éléments visuels chargés,Gráficos de muestreo y elementos visuales cargados,charts_advanced.R; charts.R; charts_score.R; charts_drivers.R,Console message
runtime.exporting_data,runtime,Exporting report data...,Exportation des données du rapport...,Exportando los datos del informe...,charts_sampling.R,Console message
runtime.data_exported,runtime,Report data exported,Données du rapport exportées,Datos del informe exportados,export.R,Console message
,runtime,,,,export.R,Console message
